,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9
Time (raw),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts)
0.003482067,0.0931,0.1412,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.003492184,0.0931,0.138,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.0035023,0.0931,0.138,0.061,0.0706,0.0706,0.0247,0.0286,0.0835,0.0835
0.003512415,0.0931,0.1348,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.003522531,0.0931,0.1348,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.003532647,0.0931,0.1316,0.061,0.0706,0.0706,0.0247,0.0215,0.0835,0.0835
0.003542763,0.0931,0.1316,0.061,0.0706,0.0706,0.0247,0.0286,0.0835,0.0835
0.003552878,0.0931,0.1284,0.061,0.0706,0.0706,0.0247,0.0322,0.0835,0.0835
0.003562994,0.0931,0.1284,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.00357311,0.0931,0.1284,0.061,0.0706,0.0706,0.0247,0.0286,0.0835,0.0835
0.003583226,0.0931,0.1252,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.003593342,0.0899,0.1252,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.003603458,0.0899,0.122,0.061,0.0706,0.0706,0.0176,0.0215,0.0835,0.0835
0.003613574,0.0899,0.122,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.00362369,0.0899,0.1188,0.061,0.0706,0.0706,0.0176,0.0322,0.0867,0.0835
0.003633806,0.0899,0.1188,0.061,0.0706,0.0706,0.0176,0.0322,0.0835,0.0835
0.003643921,0.0899,0.1188,0.061,0.0706,0.0706,0.0176,0.025,0.0835,0.0835
0.003654037,0.0899,0.1156,0.061,0.0706,0.0706,0.0247,0.0322,0.0867,0.0867
0.003664153,0.0899,0.1156,0.061,0.0706,0.0706,0.0176,0.025,0.0867,0.0835
0.003674269,0.0899,0.1156,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.003684384,0.0899,0.1123,0.061,0.0706,0.0706,0.0247,0.0322,0.0867,0.0835
0.0036945,0.0899,0.1123,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003704616,0.0899,0.1091,0.061,0.0706,0.0706,0.0176,0.0322,0.0867,0.0835
0.003714733,0.0899,0.1091,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003724848,0.0899,0.1091,0.061,0.0706,0.0706,0.0176,0.025,0.0867,0.0835
0.003734964,0.0899,0.1059,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.00374508,0.0899,0.1059,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.003755196,0.0899,0.1059,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003765312,0.0899,0.1027,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003775427,0.0899,0.1027,0.061,0.0674,0.0706,0.0247,0.0215,0.0867,0.0835
0.003785543,0.0899,0.1027,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003795659,0.0899,0.1027,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003805775,0.0867,0.0995,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.00381589,0.0899,0.0995,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.003826007,0.0867,0.0995,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003836123,0.0867,0.0995,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003846239,0.0867,0.0963,0.061,0.0706,0.0706,0.0176,0.0322,0.0867,0.0835
0.003856354,0.0867,0.0963,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.00386647,0.0867,0.0963,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.003876586,0.0867,0.0963,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003886702,0.0867,0.0931,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
0.003896817,0.0867,0.0931,0.061,0.0706,0.0706,0.0176,0.0215,0.0867,0.0835
0.003906933,0.0867,0.0931,0.061,0.0706,0.0706,0.0176,0.0286,0.0867,0.0835
0.003917049,0.0867,0.0931,0.061,0.0706,0.0706,0.0247,0.0215,0.0867,0.0835
